Element,Median.Apr,Median.Aug,Median.Dec,Median.Feb,Median.Mar,Median.Oct,Median.Sep
Al,99,99,162.205,186.35,174.465,216.83,214.92
As,151.96,84.86,90.195,142.025,99.97,121.26,123.2
Ca,42773.845,37259.8,94680.885,75637.29,69018.16,64102.86,57622.17
Cl,46651.605,34492.19,29046.91,38382.53,32194.35,26016.6,22350.13
Cu,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Fe,2.1,2.1,2.1,2.1,2.1,2.1,2.1
K,34783.69,28136.58,25619.54,34095.325,27344.505,26160.5,23241.35
Mg,8347.965,5570.85,7363.145,8187.56,5499.735,6628.65,3698.28
Mn,51.115,68.32,101.955,62.42,70.72,75.34,81.59
Mo,0.8,0.8,0.8,0.8,0.8,0.8,0.8
P,263.35,326.83,368.575,301.675,282.53,333.22,300.48
Pb,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Rb,77.775,60.95,60.725,71.385,56.245,61.4,53.31
S,18360.16,13107.68,13703.47,16912.82,17260.575,12611.99,13399.64
Si,764.535,953.25,1404.52,1332.735,1349.88,1399.28,1388.87
Sr,1764.93,1671.29,1755.75,1735.895,1916.41,1785.77,2011.24
Th,10.33,9,8.405,8.945,7.415,9.62,8.78
U,20.395,24,16.905,15.835,20.765,27.85,27.43
V,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Zn,3.5,3.5,3.5,3.5,3.5,3.5,3.5
